Name,Critic_Score,User_Score
Call of Duty: Modern Warfare 2,9.5,9.0
Call of Duty: Modern Warfare 2,9.5,
Tony Hawk: RIDE,4.3,
Tony Hawk: RIDE,4.4,
Monsters vs. Aliens,3.0,
Transformers: Revenge of the Fallen,4.2,
Transformers: Revenge of the Fallen,4.2,
Transformers: Revenge of the Fallen,3.8,
Marvel: Ultimate Alliance 2,5.6,
Cabela's Big Game Hunter 2010,4.6,
X-Men Origins: Wolverine,4.8,
X-Men Origins: Wolverine,5.4,
Hot Wheels: Battle Force 5,5.3,
Guitar Hero: Van Halen,4.9,
Transformers: Cybertron Adventures,3.7,
How to Train Your Dragon,4.6,
How to Train Your Dragon,4.6,
X-Men: Destiny,5.1,
X-Men: Destiny,4.9,
NASCAR 2011: The Game,4.3,
Transformers: Dark of the Moon,3.0,
Transformers: Dark of the Moon,3.0,
X-Men: Destiny,3.3,
X-Men: Destiny,2.0,
Call of Duty: Black Ops II,9.3,
Call of Duty: Black Ops II,9.3,
Call of Duty: Black Ops II,9.3,4.4
007 Legends,4.2,
Tony Hawk's Pro Skater 5,3.2,1.4
Tony Hawk's Pro Skater 5,3.9,2.1
Teenage Mutant Ninja Turtles: Mutants in Manhattan,4.4,5.5
Myth Makers: Orbs of Doom,2.9,
Rig Racer 2,3.0,
Kidz Sports: Ice Hockey,1.0,
Lode Runner,3.5,
Starshot: Space Circus Fever,5.2,
Animorphs: Shattered Reality,3.5,
PGA European Tour,4.6,
Nickelodeon Party Blast,1.1,
Zapper: One Wicked Cricket!,5.7,
Zapper: One Wicked Cricket!,5.2,
Rugby 18,4.1,4.7
Gunship,3.0,
Black Mirror,5.4,5.4
Black Mirror,5.7,2.9
Fist of the North Star: Ken's Rage,4.8,
Fist of the North Star: Ken's Rage,5.4,
Quantum Theory,2.5,
Samurai Warriors Chronicles,5.4,7.8
Dead or Alive Xtreme 3: Fortune,4.3,7.4
Dynasty Warriors 9,5.6,4.1
Twisted Metal III,4.4,
NFL GameDay 99,9.3,
Cardinal Syn,5.2,
3Xtreme,2.9,
Hooked! Real Motion Fishing,2.7,
Hoshigami: Ruining Blue Earth Remix,5.6,
Squeeballs Party,3.1,
Langrisser: Re:Incarnation Tensei,1.5,
Aegis of Earth: Protonovus Assault,5.7,6.4
Pirates of the Caribbean: Dead Man's Chest,4.3,
Pro Race Driver,9.3,
Mike Tyson Heavyweight Boxing,3.1,
Bubble Bobble Revolution,3.5,
Dance Factory,3.5,
Bubble Bobble Evolution,4.3,
Heatseeker,4.8,
Micro Machines V4,5.7,
Rise of the Argonauts,5.3,
Rise of the Argonauts,5.2,
DiRT 2,4.6,
Leisure Suit Larry: Box Office Bust,2.2,
Leisure Suit Larry: Box Office Bust,2.0,
Damnation,3.6,
Damnation,3.1,
Damnation,2.5,
Leisure Suit Larry: Box Office Bust,2.2,
Bodycount,4.9,
Bodycount,4.8,
F1 Race Stars,5.2,
F1 Race Stars,5.2,
Adventure Time: Explore the Dungeon Because I Don't Know!,3.5,
Adventure Time: Explore the Dungeon Because I Don't Know!,3.5,
Adventure Time: Explore the Dungeon Because I Don't Know!,3.5,
Adventure Time: Explore the Dungeon Because I Don't Know!,2.8,
Elite Forces: Unit 77,5.2,
Prison Break: The Conspiracy,3.3,
Prison Break: The Conspiracy,3.3,
Dead Island: Riptide,5.6,
Sacred 3,5.7,1.5
Risen 3: Titan Lords Enhanced Edition,1.0,
Homefront: The Revolution,4.8,4.0
Homefront: The Revolution,4.9,4.5
Mighty No. 9,5.2,3.5
Mighty No. 9,5.2,3.6
Homefront: The Revolution,5.4,3.8
Mighty No. 9,4.8,4.3
Dakar 18,5.3,5.0
Dakar 18,5.4,7.1
Deca Sports,5.3,
Deca Sports 2,5.3,
DECA Sports Freedom,3.0,
Calling,4.8,
Unbox: Newbie's Adventure,5.2,5.9
Dead Cells,9.3,8.4
7 Wonders of the Ancient World,5.4,
Chicken Hunter,3.5,
Dragoneer's Aria,5.2,
